"NHD","Septic Load","Point Source Load","Developed, Open Space","Cultivated Crops","Forest","Developed, Low Intensity","Developed, Medium Intensity","Pasture/Hay","Developed, High Intensity","WAYLAND - V STP","SPRINGWATER-T WWTP","Total"
"04130002001356",0,0,238.582753999884,4401.16491555,251.46146115,80.157662089092,22.1511593835,1486.5737958,0.4548371393412,NA,NA,6480.54658511182
"04130002001362",0,0,1.1577672637776,82.39716225,2.0905083,0.8151626653128,0.29534879178,17.1076969125,NA,NA,NA,103.86364618337
"04130002001365",0,0,20.4263224395048,501.03256905,87.15640455,1.358604442188,0.29534879178,106.5214056375,NA,NA,NA,716.790654910973
"04130002001367",0,0,39.1159939833432,1226.9949354,256.7322108,5.5702782129708,1.18139516712,207.9388575,NA,NA,NA,1737.53367106343
"04130002001372",0,0,35.4772968686136,626.50754595,58.24511955,28.6665537301668,20.37906663282,213.60991725,15.4644627376008,NA,NA,998.349962719201
"04130002001377",0,0,5.7061386571896,313.10921655,16.47943245,1.0868835537504,0.29534879178,61.1529276375,NA,NA,NA,397.82994764022
"04130002001378",0,0,0.1653953233968,50.59474875,1.4233248,NA,NA,3.591671175,NA,NA,NA,55.7751400483968
"04130002001380",0,0,3.721394776428,43.3669275,1.93483215,0.2717208884376,NA,17.76932055,NA,NA,NA,67.0641958648656
"04130002001381",0,0,NA,0.86733855,7.2500607,NA,NA,0.567105975,NA,NA,NA,8.684505225
"04130002001384",0,0,67.812082592688,1078.3909305,213.5431989,8.151626653128,4.4302318767,786.1033990125,NA,NA,NA,2158.43146953502
"04130002001387",0,NA,111.228354984348,1438.6255416,121.5163548,104.20496071582,82.6976616984,241.398110025,54.580456720944,3196.305,NA,2154.25144054451
"04130002001389",0,0,12.0738586079664,469.5192684,30.31237035,4.4833946592204,NA,94.328627175,NA,NA,NA,610.717519192187
"04130002001390",0,0,NA,NA,4.95939735,NA,NA,1.5122826,NA,NA,NA,6.47167995
"04130002001397",0,0,12.818137563252,390.3023475,27.77707305,2.4454879959384,1.77209275068,30.7182403125,NA,NA,NA,465.83337917237
"04130002001398",0,0,12.818137563252,422.97209955,30.35684925,2.4454879959384,1.77209275068,30.7182403125,NA,NA,NA,501.08290742237
"04130002001402",0,0,0.3307906467936,NA,10.56373875,NA,NA,10.396942875,NA,NA,NA,21.2914722717936
"04130002001403",0,0,NA,10.9862883,28.2885804,NA,NA,10.96404885,NA,NA,NA,50.23891755
"04130002001411",0,0,1.0750696020792,49.1491845,0.91181745,NA,NA,5.7655774125,NA,NA,NA,56.9016489645792
"04130002001415",0,0,0.7442789552856,NA,6.1380882,0.5434417768752,NA,1.2287296125,NA,NA,NA,8.6545385446608
"04130002001418",0,0,0.0826976616984,NA,1.8681138,NA,NA,NA,NA,NA,NA,1.9508114616984
"04130002001419",0,0,8.0216731847448,203.24633355,18.52546185,0.2717208884376,NA,69.5649996,NA,NA,NA,299.630189073182
"04130002001424",0,0,0.9923719403808,0.5782257,2.91336795,0.1358604442188,NA,12.0037431375,NA,NA,NA,16.6235691720996
"04130002001426",0,0,2.6463251743488,46.54716885,26.62062165,0.4075813326564,NA,46.691725275,NA,NA,NA,122.913422282005
"04130002001427",0,0,NA,65.62861695,26.62062165,NA,NA,12.9489197625,NA,NA,NA,105.1981583625
"04130002001430",0,0,NA,3.75846705,0.37807065,NA,NA,NA,NA,NA,NA,4.1365377
"04130002001432",0,0,55.1593403528328,763.8361497,615.4990182,4.3475342150016,NA,285.44334075,NA,NA,NA,1724.28538321783
"04130002001434",0,0,0.413488308492,2.60201565,1.0230147,NA,NA,6.616236375,NA,NA,NA,10.654755033492
"04130002001435",0,0,13.231625871744,230.42294145,114.8000409,0.679302221094,NA,67.2020580375,NA,NA,NA,426.335968480338
"04130002001439",0,0,8.5178591549352,76.9040181,34.53786585,1.2227439979692,NA,93.950556525,NA,NA,NA,215.133043627904
"04130002001441",0,0,1.4058602488728,92.22699915,12.4985709,NA,NA,10.96404885,NA,NA,NA,117.095479148873
"04130002001444",0,0,3.307906467936,50.3056359,9.62968185,0.1358604442188,NA,NA,NA,NA,NA,63.3790846621548
"04130002001446",0,0,6.4504176124752,182.1410955,51.97359465,0.2717208884376,NA,85.82203755,NA,NA,NA,326.658866200913
"04130002001450",0,0,3.9694877615232,46.54716885,2.69097345,0.5434417768752,0.29534879178,14.74475535,0.4548371393412,NA,NA,69.2460131195196
"04130002001453",0,0,0.7442789552856,NA,10.25238645,0.1358604442188,NA,43.7616777375,NA,NA,NA,54.8942035870044
"04130002001464",0,0,29.357669902932,870.51879135,138.57401295,1.358604442188,NA,188.7517720125,NA,NA,NA,1228.56085065762
"04130002001470",0,0,NA,0.28911285,11.00852775,NA,NA,16.6351086,NA,NA,NA,27.9327492
"04130002001476",0,0,NA,NA,15.05610765,NA,NA,NA,NA,NA,NA,15.05610765
"04130002001477",0,0,3.1425111445392,NA,5.4264258,NA,NA,45.6520309875,NA,NA,NA,54.2209679320392
"04130002001480",0,0,259.836053056373,3724.3517337,1672.8959079,53.3931545779884,15.35813717256,2464.64256735,2.7290228360472,NA,NA,8193.20657659297
"04130002001482",0,0,118.257656228712,1436.60175165,1632.84265845,9.3743706510972,0.88604637534,1419.1827024375,1.8193485573648,NA,NA,4618.96453435001
"04130002001483",0,0,9.7583240804112,31.51330065,1.40108535,2.9889297728136,0.88604637534,34.3099114875,NA,NA,NA,80.8575977160648
"04130002001489",0,0,144.307419663708,573.31078155,1024.793856,9.9178124279724,0.88604637534,2226.5525755125,NA,NA,NA,3979.76849152952
"04130002001492",0,0,1.5712555722696,32.09152635,45.3239991,NA,NA,60.302268675,NA,NA,NA,139.28904969727
"04130002001493",0,0,1.240464925476,NA,11.14196445,0.1358604442188,NA,NA,NA,NA,NA,12.5182898196948
"04130002001496",0,0,NA,NA,9.31832955,NA,NA,NA,NA,NA,NA,9.31832955
"04130002001504",0,0,0.413488308492,NA,22.1949711,NA,NA,9.5462839125,0.4548371393412,NA,NA,32.6095804603332
"04130002001506",0,0,3.8040924381264,NA,51.12849555,NA,NA,20.03774445,0.4548371393412,NA,NA,75.4251695774676
"04130002001512",0,0,9.4275334336176,17.63588385,83.99840265,5.0268364360956,6.20232462738,148.9598361,NA,NA,NA,271.250817097093
"04130002001514",0,0,22.8245546287584,352.1394513,195.32908935,1.4944648864068,NA,159.8293672875,NA,NA,NA,731.616927452665
"04130002001515",0,0,0.6615812935872,4.6258056,15.9234462,NA,NA,14.933790675,NA,NA,NA,36.1446237685872
"04130002004273",0,0,0.1653953233968,17.346771,2.9356074,NA,NA,7.750448325,NA,NA,NA,28.1982220483968
