"LAKE_ID","Y_Coordinate","X_Coordinate","maxdate"
"0503GOO0027",42.1824,-77.270897,2012-07-24
"0503HOR0034",42.38484,-77.63422,2012-07-26
"0503HOR0035",42.39122,-77.62678,2012-07-25
"0503HOR0036",42.39816,-77.62247,2012-07-25
"0503UWB5183",42.087502,-77.209099,2018-08-07
"0601ARN0362",42.611401,-75.0047,2018-07-30
"0601BEA0174",42.045502,-75.665703,2017-09-18
"0601CAN0392",42.8153,-75.006103,2017-09-16
"0601CHE0213",42.5826,-75.4412,2017-09-19
"0601GIL0287",42.580002,-75.128304,2018-07-30
"0601GOE0378",42.625599,-74.974197,2018-07-30
"0601GUI0188",42.412899,-75.499397,2017-09-18
"0601NAT5467",42.141602,-75.705902,2013-08-22
"0601UWB0229",42.62419,-75.36309,2013-08-22
"0601WHI5191",42.040402,-75.636803,2014-09-29
"0602BAL5648",42.551899,-75.763001,2014-09-18
"0602BOW5660",42.5187,-75.688599,2013-07-25
"0602BRA0154",42.834,-75.662201,2017-09-17
"0602CHE0032",42.2103,-75.836403,2016-09-20
"0602CRO0073",42.7859,-76.149399,2017-09-24
"0602DEA0036",42.447701,-76.003403,2017-09-04
"0602EAR0146",42.76085,-75.55753,2017-09-10
"0602EAT0163",42.8591,-75.698998,2017-09-04
"0602ECH0081",42.386299,-75.8507,2015-09-15
"0602GEN0088",42.5173,-75.774803,2016-09-17
"0602GLO0040",42.492699,-75.953697,2018-09-06
"0602HAT0155",42.834598,-75.677803,2017-09-24
"0602LEB0153",42.802898,-75.606903,2017-09-11
"0602LON0083",42.42023,-75.84813,2014-09-18
"0602MEL0039",42.470299,-75.8741,2017-09-22
"0602MOR0152",42.850201,-75.522201,2017-09-15
"0602PET0078",42.331699,-75.7985,2017-10-01
"0602PLY0107",42.5881,-75.651001,2017-09-17
"0602ROU0082",42.399799,-75.838402,2018-09-06
"0602SHA5677",42.791801,-76.008003,2018-09-17
"0602SON0072",42.772301,-76.146864,2017-09-23
"0602SPR0050A",42.799702,-76.026901,2018-09-17
"0602TUL0068",42.776401,-76.1352,2017-09-10
"0602ULI0067",42.7033,-76.1558,2017-09-20
"0602WAR0094",42.3746,-75.6464,2017-09-17
"0602WHA5659",42.5299,-75.700996,2018-09-06
"0602WHI5358",42.3661,-75.977203,2014-09-18
"0603GREXXX1",42.287658,-76.089507,2018-09-05
"0701CRO0185",43.111,-76.4692,2012-09-19
"0701GRE5021",43.204102,-76.335098,2016-07-27
"0701MUD0013",43.181198,-76.4095,2017-09-18
"0701NEA0009",43.308102,-76.437202,2012-09-20
"0701OTT0198",43.140099,-76.533096,2012-09-20
"0701PAR0197",43.161499,-76.558098,2012-09-19
"0701UWB5036",43.195499,-76.314003,2016-07-27
"0702HIA0156",43.025799,-76.168701,2017-09-18
"0702OTI0175",42.8591,-76.279404,2017-10-04
"0703BUL0076",43.395801,-75.537598,2017-09-19
"0703CAR0095",43.344601,-75.902,2011-07-26
"0703CAZ0153",42.9482,-75.872002,2017-09-02
"0703DER0139A",42.810699,-75.888603,2017-10-01
"0703FRA0035",43.2887,-75.934998,2012-09-20
"0703GRE0112C",43.479599,-75.933601,2016-07-26
"0703GRE0147",43.05044,-75.96638,2012-09-19
"0703JAM0144",42.973999,-76.069099,2017-10-02
"0703KAS0109",43.473301,-75.924896,2017-10-01
"0703KIB0042",43.269501,-75.966499,2017-09-19
"0703NOR0040",43.369099,-75.996201,2011-07-26
"0703PAN0094",43.329201,-75.908699,2017-09-25
"0703PEN0016",43.2854,-76.2677,2017-09-19
"0703PLE0019",43.235401,-76.222702,2017-09-24
"0703ROU0148",43.047798,-75.975304,2012-09-19
"0703SUN0120",43.057301,-75.606598,2017-09-18
"0703TEM0017",43.284,-76.259499,2016-07-27
"0703TUS0153A",42.866501,-75.758598,2017-09-19
"0703UWB0081",43.6586,-75.565903,2016-07-26
"0703UWB0122",43.059101,-75.647697,2016-07-28
"0703UWB5181",43.337799,-75.894501,2012-09-20
"0704CAN0286",42.778,-77.305099,2017-10-02
"0704FAI0263A",42.937401,-77.437798,2016-08-24
"0704JUN0240",42.956402,-76.949699,2016-08-24
"0704NEW0273",42.9347,-77.0933,2017-09-19
"0705CAY0296",42.705718,-76.696105,2017-09-27
"0705COM0333",42.6772,-76.302498,2017-09-24
"0705DRY0318",42.462002,-76.272598,2017-09-19
"0705DUC0222",43.1469,-76.689796,2017-09-18
"0705ITH0340B",42.414001,-76.4599,2017-09-19
"0705KEU0388",42.493401,-77.139504,2017-10-04
"0705PUN0378A",42.369999,-76.900002,2012-09-24
"0705SEN0369",42.669266,-76.896473,2017-10-01
"0705TAUXXX1",42.533191,-76.617159,2012-07-23
"0705TRE0347A",42.398601,-76.511299,2016-08-09
"0705UWB0378B",42.3652,-76.912598,2012-09-25
"0705UWB5898",42.309101,-76.517799,2016-08-23
"0705VAN0366A",42.913101,-76.791298,2016-08-24
"0706OWA0212",42.873798,-76.528198,2017-10-01
"0707SKA0193",42.8451,-76.350304,2017-10-02
"0801BEL0423",43.926998,-75.329803,2012-08-14
"0801BRA0689",43.693699,-75.278397,2017-09-18
"0801BUG0789",43.768799,-74.729698,2018-08-22
"0801CHI0776",43.8302,-74.829201,2012-09-20
"0801COP0710",43.6637,-75.142998,2012-09-20
"0801CRY0595",43.84009,-75.27648,2012-08-14
"0801EFF0426",43.925598,-75.269203,2014-08-29
"0801EIG0790",43.778999,-74.7024,2018-08-22
"0801ELM0425",43.923901,-75.283897,2012-09-19
"0801FIS0614",43.7784,-75.259499,2012-08-14
"0801FOR0944",43.433701,-75.204803,2017-07-25
"0801FOU0782D",43.758999,-74.8181,2013-09-17
"0801FRA0451",43.8526,-75.171402,2017-08-29
"0801IND0647",43.772701,-74.978203,2017-08-29
"0801LIL0541",44.002998,-74.763001,2012-09-21
"0801LIM0826",43.712601,-74.799499,2013-09-17
"0801LON0610",43.779201,-75.268204,2012-08-14
"0801LON0922",43.5527,-75.155899,2018-08-21
"0801LSA0735",43.755798,-74.967697,2017-08-29
"0801MOS0478",43.892101,-75.094902,2017-08-29
"0801NIC0804",43.673599,-74.992599,2013-09-18
"0801OTT0926",43.592098,-75.114601,2017-09-24
"0801PAY0620",43.795299,-75.290299,2017-08-29
"0801PLE0395",43.939602,-75.693298,2012-09-19
"0801ROU0907",43.597401,-75.142502,2012-09-19
"0801ROU5512",43.738201,-74.972298,2012-09-19
"0801SAN0436",43.9492,-75.160004,2017-08-30
"0801SEC0782B",43.721199,-74.911598,2012-09-17
"0801SIX0787",43.74903,-74.77357,2013-09-18
"0801STI0493",43.912701,-74.9543,2013-09-18
"0801UWB0599",43.75949,-75.29468,2012-08-15
"0801UWB0692",43.69379,-75.28306,2012-08-15
"0801UWB5460",43.5513,-75.350304,2012-08-15
"0801UWB5515",43.7225,-74.965301,2012-09-20
"0801UWB5614",43.473701,-75.233902,2012-08-15
"0801WHE5670",43.6721,-75.508598,2018-08-21
"0801WOO0982",43.591999,-74.984703,2018-08-21
"0902BAR0262",44.459999,-74.259499,2018-08-29
"0902EAG0083",44.668999,-74.273804,2017-09-17
"0902HOR0078",44.669701,-74.290604,2017-09-23
"0902IND0051",44.7164,-74.134804,2013-06-15
"0903BLA0029A",44.4814,-74.756103,2014-08-19
"0903EAT0248",43.978901,-74.4664,2015-09-15
"0903HIT0144",44.117401,-74.647697,2014-07-24
"0903HOR0143",44.131802,-74.621002,2014-07-24
"0903LBR0316",43.809502,-74.698898,2018-08-22
"0903LTU0120",44.0406,-74.606499,2014-07-30
"0903LWO0095",44.253399,-74.479202,2015-09-15
"0903RAI0022A",44.509602,-74.789703,2014-08-19
"0903SIM0180",44.199299,-74.461098,2014-07-23
"0903STA0035B",44.440498,-74.746903,2014-08-19
"0904SIL0351",44.226898,-74.826599,2017-09-16
"0905MOO0071",44.254299,-75.732399,2015-09-16
"0905SYL0088",44.2533,-75.413597,2014-08-20
"0905YEL0069",44.324299,-75.598602,2014-08-20
"0906BLA0001",44.537998,-75.568802,2017-09-11
"0906BON0024",44.147499,-75.382202,2017-09-26
"0906BUT0054",44.316502,-75.7752,2017-09-25
"0906CLE0059",44.27603,-75.8325,2014-08-20
"0906GRA0051",44.34,-75.715202,2017-10-03
"0906MIL0055",44.292198,-75.767502,2017-09-10
"0906OTH0009",44.315399,-75.727799,2017-09-19
"0906PLE0006",44.39377,-75.60111,2014-08-20
"0906SIX0056",44.2798,-75.775002,2017-09-10
"0906UWB5014",44.309399,-75.7397,2015-09-14
"1002ALI5018",44.867199,-73.484703,2014-07-24
"1002CHA0020",44.738998,-73.819801,2014-09-25
"1003CLE0199",44.369202,-74.252296,2012-09-16
"1003COL0106",44.342899,-74.153198,2018-08-29
"1003FRA5095",44.4132,-74.000702,2018-08-28
"1003KUS0055",44.517601,-74.114502,2018-08-29
"1003LSA0104",44.303398,-74.1744,2018-08-28
"1003MEA5064",44.726601,-73.583801,2013-08-07
"1003MOO0083",44.3718,-74.062698,2018-08-28
"1003MSA0110",44.260101,-74.265701,2013-08-20
"1003OSE0090",44.281799,-74.133003,2013-08-20
"1003ROL0168",44.3106,-74.413803,2014-09-24
"1003UNI0074",44.489601,-73.939796,2014-09-24
"1003USA0114",44.301701,-74.3004,2012-09-13
