"LAKE_ID","Y_Coordinate","X_Coordinate","maxdate"
"0602GOO0067B",42.708401,-76.144096,2006-09-18
"0602GOR0136",42.8596,-75.3517,2006-06-17
"0602HAT0155",42.834598,-75.677803,2004-09-03
"0602LAB0051",42.786598,-76.0504,2008-09-17
"0602LEB0153",42.802898,-75.606903,2005-08-10
"0602LLE1052",42.8727,-75.573303,2006-10-03
"0602LLY5637",42.692402,-76.163902,2009-09-08
"0602LUD0099",42.4655,-75.708801,2009-09-08
"0602MEL0039",42.470299,-75.8741,2010-10-10
"0602MOR0152",42.850201,-75.522201,2010-10-11
"0602PET0078",42.331699,-75.7985,2010-10-10
"0602PLY0107",42.5881,-75.651001,2010-09-29
"0602SON0072",42.772301,-76.146864,2010-08-30
"0602ULE1053",42.879882,-75.576599,2006-10-03
"0602ULI0067",42.7033,-76.1558,2010-08-31
"0602WAR0094",42.3746,-75.6464,2010-08-27
"0602WOO0148",42.852798,-75.568199,2009-09-08
"0603CAY0008",42.367001,-76.735298,2009-09-09
"0701CRO0007",43.418598,-76.379204,2006-07-21
"0701GRE5021",43.204102,-76.335098,2006-07-21
"0701MUD0008",43.441502,-76.362297,2006-07-21
"0701NEA0009",43.308102,-76.437202,2006-07-21
"0701OTT0198",43.140099,-76.533096,2002-09-20
"0702ONO0154",43.0891,-76.210403,2008-06-26
"0702OTI0175",42.8591,-76.279404,2004-10-04
"0703BLA0111",43.487701,-75.942299,2003-07-10
"0703CAR0095",43.344601,-75.902,2002-10-02
"0703CAZ0153",42.9482,-75.872002,2009-10-21
"0703CHA0038A",43.3535,-75.988197,2006-08-25
"0703DER0139A",42.810699,-75.888603,2010-09-24
"0703DUT0034A",43.292985,-75.960892,2006-08-25
"0703FRA0035",43.2887,-75.934998,2002-10-02
"0703GRE0147",43.05044,-75.96638,2009-08-07
"0703JAM0144",42.973999,-76.069099,2002-08-28
"0703KAS0109",43.473301,-75.924896,2010-10-18
"0703NOR0040",43.369099,-75.996201,2002-10-02
"0703ONE0073",43.368599,-75.622597,2006-08-25
"0703PEN0016",43.2854,-76.2677,2003-09-22
"0703PLE0019",43.235401,-76.222702,2010-10-18
"0703ROU0148",43.047798,-75.975304,2009-08-07
"0703TUS0153A",42.866501,-75.758598,2010-08-09
"0703VAN0044",43.258202,-75.907501,2006-08-03
"0704JUN0238",42.961521,-76.9441,2006-06-12
"0704NEW0273",42.9347,-77.0933,2002-10-01
"0705BEE0308",42.451199,-76.476303,2006-07-21
"0705BUTXXX1",42.41638,-76.52109,2007-09-05
"0705CAY0296",42.705718,-76.696105,2007-09-03
"0705COM0333",42.6772,-76.302498,2010-08-24
"0705DUC0222",43.1469,-76.689796,2010-10-03
"0705GLEXXX1",42.36227,-76.93012,2007-07-31
"0705ITH0340B",42.414001,-76.4599,2006-07-21
"0705JEN0349",42.344799,-76.487602,2007-08-09
"0705KEU0388",42.493401,-77.139504,2007-06-05
"0705PUN0378A",42.369999,-76.900002,2007-08-01
"0705SEN0369",42.669266,-76.896473,2004-10-07
"0705TRE0347A",42.398601,-76.511299,2007-08-01
"0705VAN0366A",42.913101,-76.791298,2002-10-01
"0706OWA0212",42.873798,-76.528198,2005-08-29
"0707SKA0193",42.8451,-76.350304,2004-09-24
"0801BRA0689",43.693699,-75.278397,2010-10-11
"0801EFF0426",43.925598,-75.269203,2010-09-06
"0801FIF0786",43.748001,-74.792,2008-09-23
"0801HIG0418",43.928001,-75.369102,2007-07-06
"0801KAY0984A",43.3997,-75.173897,2001-09-19
"0801OTT0926",43.592098,-75.114601,2009-09-01
"0801RON0739",43.766998,-74.901298,2001-09-24
"0801SEC0782B",43.721199,-74.911598,2010-09-07
"0801SEV0787A",43.7443,-74.73191,2008-09-23
"0801SOF0434",43.913899,-75.219299,2008-07-29
"0801UWB0782",43.71027,-74.96792,2008-09-23
"0901ISLXXX1",44.329743,-75.986252,2001-09-07
"0902ALL5147",44.630402,-74.835098,2010-09-21
"0902BAR0262",44.459999,-74.259499,2010-06-21
"0902BOY0085A",44.587299,-74.2854,2009-08-25
"0902CHU0204",44.442101,-74.246903,2009-08-26
"0902EAG0083",44.668999,-74.273804,2010-10-10
"0902HOR0078",44.669701,-74.290604,2010-09-16
"0902LAM5101",44.874401,-74.305397,2009-08-25
"0902LCH0006",44.819,-74.018601,2010-10-05
"0902LSA0257A",44.429401,-74.255898,2002-08-23
"0902MOU0050",44.698898,-74.126801,2010-10-05
"0902OSG0202",44.451,-74.2369,2010-10-05
"0902RIC0178",44.508499,-74.312798,2009-08-25
"0902SPI0264",44.416401,-74.272797,2002-09-10
"0902TIT0028",44.7248,-74.282204,2001-09-27
"0902UCH0002",44.7412,-73.967598,2010-10-05
"0902USA0265",44.407501,-74.277901,2002-09-25
"0902WOL0065",44.65031,-74.05734,2009-08-25
"0903EAG0080",44.173801,-74.6101,2005-09-27
"0903EAT0248",43.978901,-74.4664,2010-07-28
"0903HIG0007",44.51962,-74.9165,2009-08-27
"0904CED0290",44.3484,-75.262299,2009-08-26
"0904COO0347",44.2468,-74.888901,2009-08-26
"0904SIL0351",44.226898,-74.826599,2010-09-16
"0905MOO0071",44.254299,-75.732399,2010-09-21
"0905PAY0068",44.283401,-75.645599,2010-09-21
"0905YEL0069",44.324299,-75.598602,2007-07-06
"0906BLA0001",44.537998,-75.568802,2010-08-24
"0906BON0024",44.147499,-75.382202,2010-10-03
"0906BUT0054",44.316502,-75.7752,2010-10-01
"0906GRA0051",44.34,-75.715202,2010-09-15
"0906MIL0055",44.292198,-75.767502,2010-09-26
"0906OTH0009",44.315399,-75.727799,2008-08-30
"0906RED0010",44.268501,-75.736298,2007-07-06
"0906SIX0056",44.2798,-75.775002,2004-09-26
"1002ROX5044",44.894901,-73.805702,2004-09-09
"1003CLE0199",44.369202,-74.252296,2010-09-12
"1003COL0106",44.342899,-74.153198,2001-10-22
"1003FLO0086",44.305901,-74.128304,2009-09-29
"1003FLO0142",44.331299,-74.390503,2003-07-02
"1003LON0149",44.359485,-74.391124,2004-09-09
"1003LOO0048",44.563301,-74.080704,2004-09-09
"1003MSA0110",44.260101,-74.265701,2003-06-24
"1003OSE0090",44.281799,-74.133003,2003-06-24
"1003POL0120",44.3316,-74.360901,2008-09-24
"1003ROL0168",44.3106,-74.413803,2004-09-09
"1003UNI0074",44.489601,-73.939796,2003-06-24
"1003USA0114",44.301701,-74.3004,2010-10-04
"1004AUG0213",44.457802,-73.501404,2010-10-10
"1004DAV0210C",44.617199,-73.614601,2009-09-30
"1004FER0222",44.4888,-73.718399,2003-06-24
"1004LCA0270",44.236,-73.863197,2009-08-24
"1004LIN0315",44.129902,-73.580498,2010-09-12
"1004MIR0250",44.289001,-73.982101,2010-10-26
"1004NEW5184",44.462502,-73.782204,2008-09-25
"1004PLA0254",44.325199,-73.959198,2010-10-26
"1004UCA0271",44.2234,-73.878304,2009-08-24
"1005GLE0441",43.363602,-73.673203,2010-08-21
"1005HAD0432",43.423698,-73.571999,2009-09-11
"1005PUT0355",43.835201,-73.5802,2009-09-02
"1005SHE0351",43.989201,-73.535797,2006-08-01
"1005SUN0440",43.375301,-73.639702,2003-09-09
"1006GEO0367",43.6539,-73.498802,2010-10-12
"1006MUD0369",43.726101,-73.445602,2008-08-01
"1101BAL1090",42.938801,-73.857803,2010-09-13
"1101MOR0101",43.2313,-73.711899,2001-08-06
"1101ROU1089",42.933998,-73.782898,2007-09-04
"1101SAR0027",43.016701,-73.741501,2010-10-11
"1101WOO0120A",43.215199,-73.8349,2006-08-25
"1102BAB1109",42.816799,-73.399498,2010-08-31
"1102JOH5030",42.925701,-73.4981,2007-08-31
"1102TAC1129",42.7355,-73.412697,2010-08-30
"1102TOM1095",42.857399,-73.568199,2008-09-12
"1103COS0079",43.2006,-73.423401,2010-09-18
"1103SUM0080",43.210201,-73.463203,2008-09-28
"1104ADI0587A",43.79,-74.2624,2009-08-27
"1104BEA0348",43.748795,-73.717399,2006-08-25
"1104BRA0347",43.716099,-73.702599,2003-09-17
"1104CED0667",43.7071,-74.477898,2002-08-18
"1104COOXXX1",43.138808,-74.054074,2002-08-02
"1104EAG0438",43.881813,-73.582921,2010-08-31
"1104EFN0129",43.2663,-73.928596,2001-09-23
"1104FOR0340",43.564899,-73.770302,2010-08-28
"1104FRI0365",43.6259,-73.844002,2010-09-13
"1104GAR0520",43.518299,-74.022301,2001-09-08
"1104GIL0281",43.464199,-74.3153,2010-08-26
"1104GOO0672A",43.917999,-74.215897,2010-09-14
"1104HOR0403",43.831001,-73.8097,2006-10-03
"1104HUN0131",43.2598,-73.904999,2010-08-22
"1104IND0597",43.685699,-74.329903,2010-10-05
"1104JEN0130",43.2673,-73.912804,2007-09-20
"1104KELXXX1",43.556666,-73.778883,2001-09-22
"1104LEW0597A",43.639099,-74.398697,2002-08-21
"1104LIV0212",43.373402,-74.039902,2002-08-02
"1104LUZ0318",43.3228,-73.832604,2004-09-26
"1104MAYXXX1",43.096094,-74.264488,2004-11-01
"1104MIN0381B",43.793301,-73.973999,2002-08-20
"1104MOU0369",43.714001,-73.8423,2006-08-25
"1104MUL0394",43.832199,-73.887901,2006-10-03
"1104NAN0143",43.1194,-74.0075,2005-08-19
"1104PAR0432",43.882999,-73.711098,2010-10-13
"1104PIS0234",43.4118,-74.546204,2003-09-22
"1104PYR0437",43.8666,-73.653503,2006-10-03
"1104SAC0314",43.480598,-74.4217,2010-09-03
"1104SAN0710",44.062302,-74.060097,2002-08-20
"1104SCH0374",43.774799,-73.778,2010-10-10
"1104STE0126A",43.3064,-73.903801,2002-08-02
"1104TRI0358",43.5966,-73.795402,2006-08-01
