"LakeID","LocationID","LocationName","County","Y_Coordinate","X_Coordinate","Type","DEC.Region","LocationType","Horz_Method","Horz_Datum","Report_LocationName"
"0801UWB5003","0801UWB5003_C","Unnamed Water Centroid","Jefferson",43.949402,-75.881699,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0602UWB5293","0602UWB5293_C","Unnamed Water Centroid","Broome",42.155899,-75.880203,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5435","0703UWB5435_C","Unnamed Water Centroid","Madison",42.8675,-75.880203,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB0048","0703UWB0048_C","Unnamed Water Centroid","Oswego",43.270302,-75.879204,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5356","0602UWB5356_C","Unnamed Water Centroid","Broome",42.328098,-75.878799,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5427","0703UWB5427_C","Unnamed Water Centroid","Madison",42.9184,-75.878799,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5347","0703UWB5347_C","Unnamed Water Centroid","Madison",43.092602,-75.877899,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5355","0602UWB5355_C","Unnamed Water Centroid","Broome",42.323002,-75.8778,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5141","0603UWB5141_C","Unnamed Water Centroid","Broome",42.066101,-75.8778,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5428","0703UWB5428_C","Unnamed Water Centroid","Madison",42.913502,-75.877602,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5286","0703UWB5286_C","Unnamed Water Centroid","Oswego",43.4048,-75.877197,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5142","0603UWB5142_C","Unnamed Water Centroid","Broome",42.069401,-75.877098,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5294","0602UWB5294_C","Unnamed Water Centroid","Broome",42.1843,-75.876,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5295","0602UWB5295_C","Unnamed Water Centroid","Broome",42.183102,-75.876,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5041","0303UWB5041_C","Unnamed Water Centroid","Jefferson",43.793701,-75.875397,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB5040","0303UWB5040_C","Unnamed Water Centroid","Jefferson",43.8055,-75.875,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB5136","0303UWB5136_C","Unnamed Water Centroid","Oswego",43.597801,-75.874497,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5135","0303UWB5135_C","Unnamed Water Centroid","Oswego",43.588402,-75.873703,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5296","0703UWB5296_C","Unnamed Water Centroid","Oswego",43.4287,-75.873596,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5336","0602UWB5336_C","Unnamed Water Centroid","Broome",42.2794,-75.872398,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5312","0602UWB5312_C","Unnamed Water Centroid","Broome",42.192001,-75.871101,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0906UWB5022","0906UWB5022_C","Unnamed Water Centroid","Jefferson",44.299,-75.8703,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0703UWB5166","0703UWB5166_C","Unnamed Water Centroid","Oneida",43.234501,-75.868301,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB5151","0303UWB5151_C","Unnamed Water Centroid","Oswego",43.603199,-75.8657,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5065","0303UWB5065_C","Unnamed Water Centroid","Oswego",43.661999,-75.8648,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5151","0603UWB5151_C","Unnamed Water Centroid","Broome",41.998901,-75.863899,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5302","0602UWB5302_C","Unnamed Water Centroid","Broome",42.1558,-75.861702,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5311","0602UWB5311_C","Unnamed Water Centroid","Broome",42.220299,-75.861702,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5376","0703UWB5376_C","Unnamed Water Centroid","Madison",42.902699,-75.861198,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB0152","0703UWB0152_C","Unnamed Water Centroid","Madison",42.9277,-75.858299,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB0027","0602UWB0027_C","Unnamed Water Centroid","Broome",42.1935,-75.8573,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5109","0303UWB5109_C","Unnamed Water Centroid","Jefferson",43.881699,-75.856201,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0703UWB5188","0703UWB5188_C","Unnamed Water Centroid","Oneida",43.2794,-75.854896,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB5066","0303UWB5066_C","Unnamed Water Centroid","Oswego",43.649502,-75.853897,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
